subject,predicate,object
law_5816,has type,legislation
law_5816,has title,Law No. 5816 on Crimes Committed Against Atatürk
law_5816,has date,1951
law_5816,is about,ataturk
law_5816,is enacted by,tbmm
law_5816,protects,anitkabir
#
# === Conceptual model — law_5816 = schema:Legislation (+ crm:E73_Information_Object) ===
# has type      -> rdf:type       (sınıf: schema:Legislation)
# has title     -> schema:name    schema:Legislation -> Literal
# has date      -> dct:date       schema:Legislation -> xsd:date
# is about      -> schema:about    schema:Legislation -> crm:E21_Person
# is enacted by -> schema:creator  schema:Legislation -> crm:E74_Group
# protects      -> schema:about    schema:Legislation -> schema:Mausoleum
